19/09/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 4.400,00	 R$ 4.400,00 	 Elma 
24/09/25	Despesa	Outros	Outros	Fabio Ferrari Martinez	-R$ 121,00	 R$ 121,00 	 Elma 
26/09/25	Despesa	Bordado	Produção	Ribis Bordados E Confeccoes Ltda	-R$ 108,00	 R$ 108,00 	 Elma 
29/09/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 2.053,50	 R$ 2.053,50 	 Elma 
30/09/25	Receita	Pagamentos	Recebimentos	ECOMIX ARGAMASSAS LTDA	R$ 2.471,10	 R$ 2.471,10 	 Elma 
30/09/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA	R$ 4.960,00	 R$ 4.960,00 	 Elma 
30/09/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA	R$ 4.600,00	 R$ 4.600,00 	 Elma 
30/09/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 383,90	 R$ 383,90 	 Elma 
02/10/25	Despesa	Bordado	Produção	Ribis Bordados E Confeccoes Ltda	-R$ 87,70	 R$ 87,70 	 Elma 
	Despesa		#N/D			 R$ -   	
09/12/24	Despesa	Outros	Outros	Carlos Antonio Da Silva	-R$ 300,00	 R$ 300,00 	 Claudomir 
12/12/24	Despesa	Costureira	Produção	Claudomir Vital Da Silva	-R$ 545,33	 R$ 545,33 	 Claudomir 
12/12/24	Despesa	Costureira	Produção	Claudomir Vital Da Silva	-R$ 808,50	 R$ 808,50 	 Claudomir 
14/12/24	Despesa	Aviamento	Produção	Compra no débito: Mp *jnjaviamentos So Paulo Bra	-R$ 56,00	 R$ 56,00 	 Claudomir 
14/12/24	Despesa	Aviamento	Produção	Compra no débito: Indaia Sao Paulo Bra	-R$ 48,00	 R$ 48,00 	 Claudomir 
16/01/25	Despesa	Contabilidade	Financeiro	Ministerio Da Fazenda	-R$ 245,76	 R$ 245,76 	 Claudomir 
16/01/25	Despesa	Contabilidade	Financeiro	Jairo Alves Da Silva Contabilidade	-R$ 50,00	 R$ 50,00 	 Claudomir 
27/01/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 81,90	 R$ 81,90 	 Claudomir 
27/01/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 81,90	 R$ 81,90 	 Claudomir 
27/01/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 81,90	 R$ 81,90 	 Claudomir 
27/01/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 81,90	 R$ 81,90 	 Claudomir 
27/01/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 81,90	 R$ 81,90 	 Claudomir 
27/01/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 81,90	 R$ 81,90 	 Claudomir 
21/02/25	Despesa	Costureira	Produção	Claudomir Vital Da Silva	-R$ 252,00	 R$ 252,00 	 Claudomir 
06/03/25	Despesa	Aviamento	Produção	Compra no débito: Guiga Aviamentos Sao Paulo Bra	-R$ 332,75	 R$ 332,75 	 Claudomir 
06/03/25	Despesa	Tecido	Produção	Compra no débito: Vinatex Sao Paulo Bra	-R$ 666,30	 R$ 666,30 	 Claudomir 
06/03/25	Despesa	Outros	Outros	Compra no débito: Isabella Vieira Dias Sao Paulo Bra	-R$ 386,00	 R$ 386,00 	 Claudomir 
06/03/25	Despesa	Aviamento	Produção	Compra no débito: Preferencia Aviamentos Sao Paulo Bra	-R$ 236,55	 R$ 236,55 	 Claudomir 
18/03/25	Despesa	Outros	Outros	Aline Veras Grossi	-R$ 680,00	 R$ 680,00 	 Claudomir 
03/04/25	Despesa	Costureira	Produção	Claudomir Vital Da Silva	-R$ 240,00	 R$ 240,00 	 Claudomir 
03/04/25	Despesa	Costureira	Produção	Claudomir Vital Da Silva	-R$ 501,00	 R$ 501,00 	 Claudomir 
03/04/25	Receita	Pagamentos	Recebimentos	Tls Servicos Industriais Ltda	R$ 4.000,00	 R$ 4.000,00 	 Claudomir 
05/05/25	Despesa	Costureira	Produção	Claudomir Vital Da Silva	-R$ 2.058,00	 R$ 2.058,00 	 Claudomir 
06/05/25	Despesa	Aviamento	Produção	Compra no débito: Mp *armarinhosalf Osasco Bra	-R$ 41,40	 R$ 41,40 	 Claudomir 
06/05/25	Despesa	Tecido	Produção	Compra no débito: Cabo Verde Tecidos Ltd Sao Paulo Bra	-R$ 545,95	 R$ 545,95 	 Claudomir 
06/05/25	Despesa	Aviamento	Produção	Compra no débito: Mp *armarinhosalf Osasco Bra	-R$ 236,80	 R$ 236,80 	 Claudomir 
06/05/25	Despesa	Aviamento	Produção	Compra no débito: Mil E Hum Aviamentos Sao Paulo Bra	-R$ 283,35	 R$ 283,35 	 Claudomir 
07/05/25	Receita	Pagamentos	Recebimentos	Tls Servicos Industriais Ltda	R$ 4.000,00	 R$ 4.000,00 	 Claudomir 
09/05/25	Despesa	Embalagem	Produção	Alumi Fran	-R$ 274,98	 R$ 274,98 	 Claudomir 
04/06/25	Receita	Pagamentos	Recebimentos	Tls Servicos Industriais Ltda	R$ 4.000,00	 R$ 4.000,00 	 Claudomir 
06/06/25	Despesa	Costureira	Produção	Claudomir Vital Da Silva	-R$ 799,00	 R$ 799,00 	 Claudomir 
16/06/25	Despesa	Tecido	Produção	Prime Promocional Ltda	-R$ 5.660,00	 R$ 5.660,00 	 Claudomir 
02/07/25	Despesa	Costureira	Produção	Claudomir Vital Da Silva	-R$ 1.255,00	 R$ 1.255,00 	 Claudomir 
07/08/25	Despesa	Costureira	Produção	Claudomir Vital Da Silva	-R$ 1.095,00	 R$ 1.095,00 	 Claudomir 
08/09/25	Despesa	Costureira	Produção	Claudomir Vital Da Silva	-R$ 696,00	 R$ 696,00 	 Claudomir 
